2026-07-27T19:19:33.609552298Z [inf]  Starting Container
2026-07-27T19:20:25.623473846Z [inf]  2026-07-27T19:20:25+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1780262312 message_id=156887 media=other
2026-07-27T19:20:25.625025754Z [inf]  2026-07-27T19:20:25+0000 | INFO     | aiogram.event | Update id=745967832 is handled. Duration 28 ms by bot id=1162707887
2026-07-27T19:20:25.625028549Z [inf]  2026-07-27T19:20:25+0000 | INFO     | http | POST /webhook -> 200 (29.2ms)
2026-07-27T19:20:27.843141211Z [inf]  2026-07-27T19:20:27+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967833
2026-07-27T19:20:27.843144540Z [inf]  2026-07-27T19:20:27+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1780262312 message_id=156888 media=text
2026-07-27T19:20:27.843148271Z [inf]  2026-07-27T19:20:27+0000 | INFO     | aiogram.event | Update id=745967833 is handled. Duration 21 ms by bot id=1162707887
2026-07-27T19:20:27.843151905Z [inf]  2026-07-27T19:20:27+0000 | INFO     | http | POST /webhook -> 200 (23.7ms)
2026-07-27T19:20:30.907820083Z [inf]  2026-07-27T19:20:30+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967834
2026-07-27T19:20:30.914518536Z [inf]  2026-07-27T19:20:30+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1780262312 message_id=156889 media=text
2026-07-27T19:20:30.914525605Z [inf]  2026-07-27T19:20:30+0000 | INFO     | aiogram.event | Update id=745967834 is handled. Duration 24 ms by bot id=1162707887
2026-07-27T19:20:30.914529103Z [inf]  2026-07-27T19:20:30+0000 | INFO     | http | POST /webhook -> 200 (25.0ms)
2026-07-27T19:20:34.196847358Z [inf]  2026-07-27T19:20:34+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967835
2026-07-27T19:20:34.196850706Z [inf]  2026-07-27T19:20:34+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967836
2026-07-27T19:20:34.196853952Z [inf]  2026-07-27T19:20:34+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1335699132 message_id=47754 media=text
2026-07-27T19:20:34.196856700Z [inf]  2026-07-27T19:20:34+0000 | INFO     | aiogram.event | Update id=745967835 is handled. Duration 27 ms by bot id=1162707887
2026-07-27T19:20:34.196859808Z [inf]  2026-07-27T19:20:34+0000 | INFO     | http | POST /webhook -> 200 (28.3ms)
2026-07-27T19:20:34.196863081Z [inf]  2026-07-27T19:20:34+0000 | INFO     | app.services.message_service | Stored new business message chat_id=6881815417 message_id=571593 media=text
2026-07-27T19:20:34.196865669Z [inf]  2026-07-27T19:20:34+0000 | INFO     | app.business.handlers | Owner command !mute from user=1335699132 in chat=6881815417
2026-07-27T19:20:34.826749755Z [inf]  2026-07-27T19:20:34+0000 | INFO     | aiogram.event | Update id=745967836 is handled. Duration 656 ms by bot id=1162707887
2026-07-27T19:20:34.826756553Z [inf]  2026-07-27T19:20:34+0000 | INFO     | http | POST /webhook -> 200 (659.4ms)
2026-07-27T19:20:38.895048873Z [inf]  2026-07-27T19:20:38+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967837
2026-07-27T19:20:38.895051993Z [inf]  2026-07-27T19:20:38+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1780262312 message_id=156890 media=text
2026-07-27T19:20:38.895056216Z [inf]  2026-07-27T19:20:38+0000 | INFO     | aiogram.event | Update id=745967837 is handled. Duration 77 ms by bot id=1162707887
2026-07-27T19:20:38.895059583Z [inf]  2026-07-27T19:20:38+0000 | INFO     | http | POST /webhook -> 200 (77.4ms)
2026-07-27T19:20:39.361037757Z [inf]  2026-07-27T19:20:39+0000 | INFO     | app.services.media_cache_service | media_cache: purged 38 rows older than 2 days
2026-07-27T19:20:39.407489256Z [inf]  2026-07-27T19:20:39+0000 | INFO     | app.services.media_cache_service | messages: purged 10 deleted (<=7d) + 0 old (>30d) rows
2026-07-27T19:20:43.987872850Z [inf]  2026-07-27T19:20:43+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967838
2026-07-27T19:20:43.987878061Z [inf]  2026-07-27T19:20:43+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967839
2026-07-27T19:20:44.000642640Z [inf]  2026-07-27T19:20:43+0000 | INFO     | app.services.message_service | Stored new business message chat_id=6881815417 message_id=571595 media=text
2026-07-27T19:20:44.014797290Z [inf]  2026-07-27T19:20:44+0000 | INFO     | aiogram.event | Update id=745967838 is handled. Duration 31 ms by bot id=1162707887
2026-07-27T19:20:44.014802040Z [inf]  2026-07-27T19:20:44+0000 | INFO     | http | POST /webhook -> 200 (33.6ms)
2026-07-27T19:20:44.014805392Z [inf]  2026-07-27T19:20:44+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1335699132 message_id=47755 media=text
2026-07-27T19:20:44.021508398Z [inf]  2026-07-27T19:20:44+0000 | INFO     | aiogram.event | Update id=745967839 is handled. Duration 37 ms by bot id=1162707887
2026-07-27T19:20:44.021516921Z [inf]  2026-07-27T19:20:44+0000 | INFO     | http | POST /webhook -> 200 (38.7ms)
2026-07-27T19:20:46.557312200Z [inf]  2026-07-27T19:20:46+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967840
2026-07-27T19:20:46.557316511Z [inf]  2026-07-27T19:20:46+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1780262312 message_id=156891 media=text
2026-07-27T19:20:46.557320429Z [inf]  2026-07-27T19:20:46+0000 | INFO     | aiogram.event | Update id=745967840 is handled. Duration 28 ms by bot id=1162707887
2026-07-27T19:20:46.557324259Z [inf]  2026-07-27T19:20:46+0000 | INFO     | http | POST /webhook -> 200 (30.4ms)
2026-07-27T19:20:48.566781313Z [inf]  2026-07-27T19:20:48+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967841
2026-07-27T19:20:48.566787533Z [inf]  2026-07-27T19:20:48+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967842
2026-07-27T19:20:48.579875468Z [inf]  2026-07-27T19:20:48+0000 | INFO     | app.services.message_service | Stored new business message chat_id=6881815417 message_id=571596 media=text
2026-07-27T19:20:48.586575509Z [inf]  2026-07-27T19:20:48+0000 | INFO     | aiogram.event | Update id=745967841 is handled. Duration 24 ms by bot id=1162707887
2026-07-27T19:20:48.586580033Z [inf]  2026-07-27T19:20:48+0000 | INFO     | http | POST /webhook -> 200 (24.7ms)
