Starting Container
INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
INFO  [alembic.runtime.migration] Will assume transactional DDL.
INFO:     Started server process [5]
INFO:     Waiting for application startup.
2026-07-15T20:27:26+0000 | INFO     | app.main | Starting Telegram Business Bot (environment=production)
2026-07-15T20:28:36+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745855954
2026-07-15T20:28:36+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1360420675 message_id=1440366 media=text
2026-07-15T20:28:36+0000 | INFO     | aiogram.event | Update id=745855954 is handled. Duration 12 ms by bot id=1162707887
2026-07-15T20:28:36+0000 | INFO     | http | POST /webhook -> 200 (13.7ms)
2026-07-15T20:28:42+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745855955
2026-07-15T20:28:42+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1360420675 message_id=1440367 media=text
2026-07-15T20:28:42+0000 | INFO     | aiogram.event | Update id=745855955 is handled. Duration 18 ms by bot id=1162707887
2026-07-15T20:28:42+0000 | INFO     | http | POST /webhook -> 200 (20.6ms)
2026-07-15T20:28:42+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745855956
2026-07-15T20:28:42+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1360420675 message_id=1440368 media=text
2026-07-15T20:28:42+0000 | INFO     | aiogram.event | Update id=745855956 is handled. Duration 7 ms by bot id=1162707887
2026-07-15T20:28:42+0000 | INFO     | http | POST /webhook -> 200 (8.8ms)
2026-07-15T20:28:43+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745855957
2026-07-15T20:28:43+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1360420675 message_id=1440369 media=text
2026-07-15T20:28:43+0000 | INFO     | aiogram.event | Update id=745855957 is handled. Duration 10 ms by bot id=1162707887
2026-07-15T20:28:43+0000 | INFO     | http | POST /webhook -> 200 (11.4ms)
